AcctId,EOM,ClosingBal
18452,31/08/2020,345564.6
18452,30/09/2020,349473.92
18452,31/10/2020,356961.1
18452,30/11/2020,355699.63
18452,31/12/2020,355699.63
18599,31/01/2018,900126.32
18599,28/02/2018,958737.12
18599,31/03/2018,919388.92
18599,30/04/2018,908404.81
18599,31/05/2018,965278.03
18599,30/06/2018,850822.11
18599,31/07/2018,847360.53
18599,31/08/2018,846546.45
18599,30/09/2018,858945.38
18599,31/10/2018,807286.66
18599,30/11/2018,821056.97
18599,31/12/2018,811686.91
18599,31/01/2019,856613.98
18599,28/02/2019,855092.74
18599,31/03/2019,850031.3
18599,30/04/2019,860620.61
18599,31/05/2019,854737.06
18599,30/06/2019,859777.57
18599,31/07/2019,862836.68
18599,31/08/2019,863175.1
18599,30/09/2019,846095.28
18599,31/10/2019,841671.37
18599,30/11/2019,851284.07
18599,31/12/2019,856564.6
18599,31/01/2020,843288.99
18599,29/02/2020,753528.95
18599,31/03/2020,756947.5
18599,30/04/2020,777506.99
18599,31/05/2020,780862.87
18599,30/06/2020,775876.86
18599,31/07/2020,789408.01
18599,31/08/2020,784762.39
18599,30/09/2020,787087.73
18599,31/10/2020,797788.26
18599,30/11/2020,811993.24
18599,31/12/2020,811993.24
18979,31/01/2018,50076.46
18979,28/02/2018,50076.46
18979,31/03/2018,50080.31
18979,30/04/2018,50079.26
18979,31/05/2018,53772.61
18979,30/06/2018,50078.21
18979,31/07/2018,50076.81
18979,31/08/2018,50075.76
18979,30/09/2018,50079.26
18979,31/10/2018,50078.56
18979,30/11/2018,50077.16
18979,31/12/2018,50079.96
18979,31/01/2019,50077.51
18979,28/02/2019,50076.46
18979,31/03/2019,50075.76
18979,30/04/2019,50078.91
18979,31/05/2019,57107.8
18979,30/06/2019,57070.41
18979,31/07/2019,57041.58
18979,31/08/2019,57864.78
18979,30/09/2019,57824.29
18979,31/10/2019,57792.08
18979,30/11/2019,58628.73
18979,31/12/2019,58594.67
18979,31/01/2020,53105.55
18979,29/02/2020,59629.05
18979,31/03/2020,59601.01
18979,30/04/2020,59548.81
18979,31/05/2020,60431.43
18979,30/06/2020,47508
18979,31/07/2020,59642.44
18979,31/08/2020,60265.18
18979,30/09/2020,60214.54
18979,31/10/2020,60174.1
18979,30/11/2020,61300.6
